,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
40,"[ 0.34447667  0.6859813  -0.07711506  2.5152092   0.11737482  2.0866783
 -3.073425    0.        ]","[ 11.963627  -55.136333   -9.761641    8.0539055  -7.5111895   2.1302793
  -3.09276     0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.3382025   0.6845619  -0.07320348  2.5195942   0.13059354  2.0804038
 -3.067881    0.        ]","[ 0.0276322  -0.0001712  -0.02520111 -0.01448379 -0.08173241  0.02749524
 -0.04985438  0.        ]",1.3333334,40,0,40,0
41,"[ 0.3458156   0.68674123 -0.07763217  2.514472    0.11509484  2.0873005
 -3.0745099   0.        ]","[ 11.248044  -54.690548   -9.590505   17.36319    -7.1093655  -1.3185139
  -3.6721494   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.33942777  0.68456    -0.07412195  2.5188885   0.12750256  2.0815563
 -3.069484    0.        ]","[ 2.8008847e-02 -3.4240642e-05 -2.1331921e-02 -1.6024621e-02
 -7.1562946e-02  2.5920166e-02 -3.8007114e-02  0.0000000e+00]",1.3666667,41,0,41,0
42,"[ 0.34675166  0.6873984  -0.07788514  2.513825    0.11367102  2.0876656
 -3.0753202   0.        ]","[ -1.7070929  -53.792732     1.8290188   17.781832     1.8212966
  -1.7630826    0.16089432   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.33984578  0.68456    -0.07443258  2.5186124   0.1264748   2.0819955
 -3.0699558   0.        ]","[ 2.7563717e-02 -3.4240642e-05 -2.0544386e-02 -1.6503990e-02
 -6.8926416e-02  2.6707701e-02 -3.4514569e-02  0.0000000e+00]",1.4,42,0,42,0
43,"[ 0.3480511   0.68804383 -0.07819033  2.5123308   0.11142676  2.088819
 -3.0773482   0.        ]","[ -1.2993029  -36.364315     1.469569    17.228462     1.2681038
  -1.5876446    0.52657753   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.34152356  0.6845984  -0.07548336  2.5173776   0.12299074  2.0837767
 -3.0713613   0.        ]","[ 0.03225468  0.00068481 -0.02003078 -0.02372877 -0.06800192  0.03389823
 -0.02766644  0.        ]",1.4333333,43,0,43,0
44,"[ 0.3477227   0.6904033  -0.07752121  2.5093997   0.1134321   2.0896218
 -3.0754802   0.        ]","[ -0.8859535 -40.893673    1.3413569  17.078663    0.3610884  -1.5686219
   0.595628    0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.34233657  0.68476325 -0.07590329  2.5168023   0.12144718  2.084473
 -3.0720017   0.        ]","[ 0.03680869  0.00362951 -0.0203047  -0.02660498 -0.07190535  0.03454881
 -0.02900182  0.        ]",1.4666667,44,0,44,0
45,"[ 0.34834284  0.69128996 -0.07759448  2.5090177   0.11246958  2.08787
 -3.0766387   0.        ]","[ -1.1103414 -37.36362     1.7288458  15.949624    0.912375   -1.8236477
   0.3846358   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.34485614  0.685862   -0.07705952  2.515161    0.11691618  2.086327
 -3.0739133   0.        ]","[ 0.05375781  0.02181129 -0.02550928 -0.03537058 -0.09762007  0.04115725
 -0.04119149  0.        ]",1.5,45,0,45,0
46,"[ 0.34979722  0.6921089  -0.07828845  2.5084198   0.10964444  2.0870175
 -3.07859     0.        ]","[ -3.34855   -39.25593     2.0286074  17.607347    2.224837   -2.4631174
   0.2712531   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.34551767  0.6862186  -0.07732414  2.5146797   0.11588074  2.0867834
 -3.0743833   0.        ]","[ 0.05344964  0.0245163  -0.02379725 -0.03564451 -0.09313454  0.03865768
 -0.03989035  0.        ]",1.5333333,46,0,46,0
47,"[ 0.35019338  0.6926343  -0.07832518  2.5071766   0.10917766  2.0872028
 -3.0788393   0.        ]","[ -3.8501754  -37.123802    -0.39925334  16.3602       1.901316
   1.4682341   -0.51214916   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.34698454  0.68804985 -0.07761751  2.5123863   0.11383288  2.0877
 -3.0755336   0.        ]","[ 0.02386573  0.03047417 -0.00441704 -0.03889737 -0.03276829  0.01448379
 -0.01855843  0.        ]",1.5666667,47,0,47,0
48,"[ 0.3504297   0.6928758  -0.07838474  2.5067317   0.10887177  2.0868654
 -3.078969    0.        ]","[ -3.8501754  -37.123802    -0.39925334  16.3602       1.901316
   1.4682341   -0.51214916   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.34698454  0.68804985 -0.07761751  2.5123863   0.11383288  2.0877
 -3.0755336   0.        ]","[ 0.02386573  0.03047417 -0.00441704 -0.03889737 -0.03276829  0.01448379
 -0.01855843  0.        ]",1.6,48,0,48,0
49,"[ 0.35143864  0.6939675  -0.07881961  2.505344    0.10721889  2.0846827
 -3.0797307   0.        ]","[ -1.7575963  -40.14674     -0.11009836  17.496464     1.3463894
  -0.8315782    0.5579857    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.3483977   0.69041985 -0.07792047  2.5099645   0.11163162  2.0875714
 -3.0771923   0.        ]","[ 0.02164009  0.03653476 -0.00506762 -0.03680869 -0.03427488 -0.00229412
 -0.02585169  0.        ]",1.6333333,49,0,49,0
