,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index,next.done
40,"[-0.0241606   0.72204703  0.01300025  2.5725765   0.5180213   2.2369416
 -2.0818331   0.        ]","[  2.8620827  -47.461143     0.52853066  27.407398    -5.0663705
  -0.92401654   0.5562545    0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.01620843  0.7289208   0.00927675  2.5688195   0.51961106  2.2070398
 -2.0670717   0.        ]","[-0.03845224 -0.05875694  0.00133539  0.03321342 -0.05851726  0.19414444
 -0.10378338  0.        ]",1.3333334,40,24,8816,0,False
41,"[-0.02387485  0.716285    0.00993291  2.5745382   0.5100073   2.2499137
 -2.0827255   0.        ]","[  1.4589686  -46.193687     0.8990689   18.27413      3.1164699
  -1.6333927   -0.10893455   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.01753532  0.72670233  0.00920005  2.5700104   0.5173945   2.2142131
 -2.0704389   0.        ]","[-0.03472001 -0.0629343  -0.00390343  0.03537058 -0.07193959  0.20523842
 -0.10203712  0.        ]",1.3666667,41,24,8817,0,False
42,"[-0.02342287  0.7153074   0.00910785  2.5751967   0.5067936   2.2548406
 -2.0842917   0.        ]","[  0.5376916  -52.053314     2.6523607   24.45448     -3.4918437
  -0.5281448    0.59173673   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.01884879  0.72512996  0.00935537  2.5709536   0.51641273  2.22
 -2.0731924   0.        ]","[-0.03691141 -0.04964893  0.00229412  0.02824853 -0.0371511   0.17154562
 -0.08008886  0.        ]",1.4,42,24,8818,0,False
43,"[-0.02296091  0.71361417  0.00835309  2.5753129   0.5036662   2.2611516
 -2.084811    0.        ]","[  0.10624608 -43.682716    -1.3777741   16.370817     0.77407986
  -1.5495852    0.10875258   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.02067998  0.72389704  0.01044257  2.5716152   0.516616    2.2264524
 -2.076425    0.        ]","[-0.04677272 -0.03660325  0.02225642  0.02119496 -0.0032871   0.17442183
 -0.08645763  0.        ]",1.4333333,43,24,8819,0,False
44,"[-0.02334932  0.7128333   0.00828527  2.5758686   0.5025241   2.265137
 -2.0854719   0.        ]","[  1.0584129 -44.485226    9.208281   16.546852    0.9244706  -1.9970669
   1.3551636   0.       ]",[0. 0. 0. 0. 0. 0.],"[-0.02191483  0.7229632   0.01110986  2.5720851   0.5166045   2.2310102
 -2.0784078   0.        ]","[-0.04879292 -0.03396672  0.02876214  0.01732576  0.00352679  0.17411366
 -0.08180089  0.        ]",1.4666667,44,24,8820,0,False
45,"[-0.02315442  0.71158737  0.00777899  2.5764399   0.50098515  2.267538
 -2.085703    0.        ]","[  2.049179   -52.364147     0.8680362   19.619339     2.7448785
  -0.16844094   0.06865804   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.02264347  0.7209518   0.01085867  2.572854    0.51406384  2.2383618
 -2.0802677   0.        ]","[-0.0312617  -0.05036798  0.00486217  0.02057863 -0.04673848  0.20041049
 -0.06231797  0.        ]",1.5,45,24,8821,0,False
46,"[-0.0233053   0.71067405  0.00765211  2.5775905   0.49779713  2.2749684
 -2.0882442   0.        ]","[  3.34412    -50.03163      4.9395766   19.490166     4.005813
  -3.0233586    0.44248664   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.02291192  0.719366    0.0104349   2.5734751   0.5118357   2.2435582
 -2.0813932   0.        ]","[-0.01780513 -0.06423545 -0.01205271  0.02482447 -0.08515648  0.22407077
 -0.05331268  0.        ]",1.5333333,46,24,8822,0,False
47,"[-0.02405707  0.70783055  0.0076488   2.5773532   0.4956832   2.2870069
 -2.0880232   0.        ]","[ -3.385539   -41.943542     3.2208517   16.543118     2.360866
  -1.7135054    0.61164474   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.0231286   0.7151802   0.00927483  2.5750265   0.50648785  2.255899
 -2.0837154   0.        ]","[-0.00386919 -0.07474732 -0.02071559  0.02770068 -0.09549715  0.22037278
 -0.04146542  0.        ]",1.5666667,47,24,8823,0,False
48,"[-0.02143307  0.7057763   0.0037137   2.579306    0.48581815  2.2921472
 -2.089811    0.        ]","[ -3.27259    -39.283882     2.9612153   15.730283     3.3698575
  -2.3676894    0.26437163   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.02313051  0.71366346  0.00879546  2.5756555   0.5044112   2.260382
 -2.084517    0.        ]","[-0.00112994 -0.06868673 -0.02051014  0.02619409 -0.09025834  0.20133498
 -0.03619236  0.        ]",1.6,48,24,8824,0,False
49,"[-0.02121373  0.70526016  0.00306974  2.5801923   0.48264128  2.29807
 -2.091145    0.        ]","[ -3.1503878  -41.37268      2.617792    15.445458     2.8803985
  -0.6839043   -0.24312863   0.        ]",[0. 0. 0. 0. 0. 0.],"[-0.02321296  0.71197414  0.00828733  2.5765126   0.5012819   2.2679427
 -2.086047    0.        ]","[-0.00147235 -0.04304049 -0.01307993  0.02051014 -0.07395979  0.17411366
 -0.03475425  0.        ]",1.6333333,49,24,8825,0,False
